board,estados_descobertos,estados_restantes_lista_fim_execucao,iteracoes,heuristic_function,tempo_processamento,solvable
267431058,45903,13793,32111,h1,5.56,True
48713526,10087,3609,6479,h1,0.0,True
86417235,32292,10522,21771,h1,4.28,True
758306124,92722,22020,70705,h1,16.2,True
827306415,86186,21224,64965,h1,11.96,True
623807514,32061,10264,21800,h1,3.48,True
850721364,46045,13954,32092,h1,4.82,True
713682054,6634,2464,4171,h1,0.0,True
685732140,47709,14491,33219,h1,4.96,True
678304215,28277,9376,18904,h1,1.52,True
516304728,5685,2107,3581,h1,0.0,True
274608351,118958,23785,95176,h1,16.46,True
820415637,27120,8981,18140,h1,1.91,True
260847531,98387,22785,75603,h1,15.2,True
487532016,98502,22614,75889,h1,14.36,True
740653812,29661,9589,20073,h1,3.95,True
253801476,2222,851,1374,h1,0.0,True
13268745,14149,4997,9153,h1,0.0,True
720563814,8502,3062,5441,h1,0.0,True
123456870,181440,0,181442,h1,36.36,False
267431058,19499,6686,12814,h2,5.89,True
48713526,3957,1478,2480,h2,0.0,True
86417235,9361,3414,5948,h2,0.0,True
758306124,23202,7768,15437,h2,5.63,True
827306415,31178,10088,21093,h2,11.83,True
623807514,11063,3938,7128,h2,0.0,True
850721364,19360,6676,12685,h2,5.8,True
713682054,2898,1092,1807,h2,0.0,True
685732140,15232,5414,9819,h2,0.0,True
678304215,7683,2867,4819,h2,0.0,True
516304728,3008,1124,1887,h2,0.0,True
274608351,36684,11798,24889,h2,11.53,True
820415637,8107,2951,5157,h2,0.0,True
260847531,47970,14248,33723,h2,22.2,True
487532016,37802,11883,25920,h2,14.11,True
740653812,9178,3294,5885,h2,0.0,True
253801476,966,383,586,h2,0.0,True
13268745,10597,3776,6822,h2,0.0,True
720563814,3242,1208,2035,h2,0.0,True
123456870,181440,0,181442,h2,115.85,False
